Weapons Offense,4130163.6748,327077.1227
Fire,4129034.3543,324466.3903
Traffic,4176473.1479,334910.5036
Other,4375157.5756,172472.4647
Traffic,3735538.0297,706805.8035
Disorder,4130590.1602,328004.089
Traffic,4375170.8965,172353.9352
Disorder,4022474.1946,388529.0786
Assault,4215173.2811,311730.8135
Disorder,4130564.8434,328699.247
Other,4130163.6748,327077.1227
Traffic,4375147.9291,172684.5167
Disorder,4375313.1167,172122.2227
Other,4130403.2823,327828.1302
Pedestrian Stop,4130143.3333,327095.8505
Breaking & Entering,3762488.8712,670328.2047
Other,4279361.8079,380076.1397
Theft,4308051.0592,406743.3288
Family Offense,4160010.6075,324298.056
Theft,4158527.2858,326465.9156
Theft,4163521.488,318612.8056
Traffic,4374456.5561,172438.1711
Traffic,4373654.5124,172270.1608
Assault,4176332.0496,335461.9665
Disorder,4129640.5162,328343.5708
Liquor,4129444.6627,327078.8427
Disorder,4374032.8531,172322.5336
Alarm,4130932.2193,327753.1144
Liquor,4374470.0852,172453.4785
Traffic,4374753.6998,172497.4843
Theft,4130819.6219,328046.5828
Death,4306098.5545,407011.5018
Traffic,4156351.6832,325682.8419
Theft,4192053.3186,297895.9571
Vehicle Stop,4130237.5305,327315.8913
Pedestrian Stop,4130053.5489,327422.5949
Traffic,4176045.3594,330495.862
Pedestrian Stop,4374753.6998,172497.4843
Traffic,4156351.6832,325682.8419
Drugs,4157439.0864,326811.444
Traffic,3761333.6249,670857.7762
Traffic,4374855.3761,172901.2983
Disorder,4374606.1045,172575.1074
Theft,4190933.6596,298966.5095
Theft,4131210.5198,328728.7392
Breaking & Entering,4162272.4203,319550.3523
Disorder,4129240.5788,326597.5482
Disorder,4130088.4983,328731.3481
Disorder,4176495.7924,332376.6481
Disorder,4130134.5655,328032.9118
Vehicle Stop,4161073.2075,320797.8964
Traffic,4307622.5166,407037.7295
Emergency,4023090.581,390174.3972
Other,4129046.8444,325385.2693
Community Policing,4130857.2062,327943.4726
Traffic,4129815.7762,328350.3086
Other,4130088.4983,328731.3481
Disorder,4131458.545,327099.7618
Traffic,4376875.0085,172517.1659
Traffic,4130134.5655,328032.9118
Theft,4158243.7646,327068.9045
Other,4130851.4984,326051.7565
Theft,4095645.5423,325073.8117
Other,4095407.5906,326064.2804
Disorder,4129240.5788,326597.5482
